LCLid,StdorToU,Acorn,Acorn_grouped,file,energy_sum,energy_average,group_average
MAC005492,ToU,ACORN-,ACORN-,block_0,4149.143999999997,7.48942960288808,15.255294089990294
MAC001074,ToU,ACORN-,ACORN-,block_0,5225.802996999999,23.021158577092507,15.255294089990294
MAC000002,Std,ACORN-A,Affluent,block_0,6095.672000699992,12.0706376251485,19.21664097834799
MAC003613,Std,ACORN-A,Affluent,block_0,16724.290996800002,33.05195849169961,19.21664097834799
MAC003597,Std,ACORN-A,Affluent,block_0,14539.339993800004,28.677199198816577,19.21664097834799
MAC003579,Std,ACORN-A,Affluent,block_0,5562.600999699995,10.950001967913375,19.21664097834799
MAC003566,Std,ACORN-A,Affluent,block_0,14757.16400049999,29.049535434055098,19.21664097834799
MAC003557,Std,ACORN-A,Affluent,block_0,4072.403998999998,9.981382350490192,19.21664097834799
MAC003553,Std,ACORN-A,Affluent,block_0,8789.250001899998,17.267681732612964,19.21664097834799
MAC003482,Std,ACORN-A,Affluent,block_0,6755.175000999997,13.142363815175091,19.21664097834799
MAC003463,Std,ACORN-A,Affluent,block_0,4864.5189994,15.492098724203823,19.21664097834799
MAC003449,Std,ACORN-A,Affluent,block_0,25212.01000520002,48.9553592333981,19.21664097834799
MAC003428,Std,ACORN-A,Affluent,block_0,13490.6800007,26.14472868352713,19.21664097834799
MAC003423,Std,ACORN-A,Affluent,block_0,9221.996999899997,17.87208720910852,19.21664097834799
MAC003422,Std,ACORN-A,Affluent,block_0,9491.49699649999,18.465947464007762,19.21664097834799
MAC003400,Std,ACORN-A,Affluent,block_0,6325.241998700005,12.187364159344904,19.21664097834799
MAC003394,Std,ACORN-A,Affluent,block_0,14126.343993400007,27.218389197302518,19.21664097834799
MAC003388,Std,ACORN-A,Affluent,block_0,14971.887004500004,28.847566482658966,19.21664097834799
MAC003348,Std,ACORN-A,Affluent,block_0,5221.032000000001,11.732656179775283,19.21664097834799
MAC000246,Std,ACORN-A,Affluent,block_0,13772.93400479999,16.816769236630027,19.21664097834799
MAC003305,Std,ACORN-A,Affluent,block_0,8232.835999599998,15.741560228680685,19.21664097834799
MAC003281,Std,ACORN-A,Affluent,block_0,4926.903000699999,9.366735742775663,19.21664097834799
